"Campaign","Ad group","Keyword","Match type","Status"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - AR","تاج تاور اسعار","Exact","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - AR","كمبوند تاج تاور","Exact","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - AR","تاج تاور اسعار","Phrase","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - AR","كمبوند تاج تاور","Phrase","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - EN","Taj Tower prices","Phrase","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - EN","Taj Tower compound","Phrase","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Dejoya Residence - AR","كمبوند ديجويا ريزيدنس","Exact","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - EN","Taj Tower 2 compound","Phrase","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - EN","Taj Tower compound","Exact","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - EN","Taj Tower prices","Exact","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower - EN","Taj Tower 2 compound","Exact","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Dejoya Residence - AR","كمبوند ديجويا ريزيدنس","Phrase","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Dejoya Residence - AR","ديجويا ريزيدنس اسعار","Phrase","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Dejoya Residence - AR","ديجويا ريزيدنس اسعار","Exact","Removed"
"DEV - Taj Misr Developments - Search - Mobile","De Joya 4 - EN","De Joya 4 compound","Exact","Removed"
"DEV - New Plan - Search - Mobile","Amara - AR","امارا اسعار","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","PX-Phase One - AR","بي إكس المرحلة الأولى اسعار","Exact","Removed"
"DEV - New Plan - Search - Mobile","Amara - EN","Amara prices","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","PX-Phase One - AR","كمبوند بي إكس المرحلة الأولى","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Jirian-Phase One - EN","Jirian-Phase One compound","Exact","Removed"
"DEV - New Plan - Search - Mobile","Amara - EN","Amara prices","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Hacienda Waters - AR","كمبوند هاسيندا ووترز","Exact","Removed"
"DEV - New Plan - Search - Mobile","Amara - AR","امارا اسعار","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Amara - EN","Amara compound","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Hacienda Waters - AR","هاسيندا ووترز اسعار","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Jirian-Phase One - EN","Jirian-Phase One compound","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","PX-Phase One - AR","كمبوند بي إكس المرحلة الأولى","Exact","Removed"
